Model,Accuracy,Precision,Recall,F1,ROC-AUC,Window,ArtifactCondition,Category,Variant,N_Features
SVM,0.614,0.5522388059701493,0.5954022988505747,0.5730088495575221,0.6587122368019529,W2_5s_late,Raw,Baseline,Full Feature Set,665
Logistic Regression,0.577,0.512987012987013,0.5448275862068965,0.5284280936454849,0.5996216051266403,W2_5s_late,Raw,Baseline,Full Feature Set,665
SVM,0.611,0.5481171548117155,0.6022988505747127,0.5739320920043811,0.6542243922286644,W2_5s_late,Raw,Feature Family (Omit),Omit Time-Domain,361
Logistic Regression,0.585,0.5224215246636771,0.535632183908046,0.52894438138479,0.6269392737259688,W2_5s_late,Raw,Feature Family (Omit),Omit Time-Domain,361
SVM,0.618,0.5577342047930284,0.5885057471264368,0.5727069351230425,0.6599654155223273,W2_5s_late,Raw,Feature Family (Omit),Omit Hjorth,608
Logistic Regression,0.574,0.5097613882863341,0.5402298850574713,0.5245535714285714,0.5796928084630251,W2_5s_late,Raw,Feature Family (Omit),Omit Hjorth,608
SVM,0.607,0.5446808510638298,0.5885057471264368,0.5657458563535912,0.6485972942732174,W2_5s_late,Raw,Feature Family (Omit),Omit Spectral,418
Logistic Regression,0.589,0.5232558139534884,0.6206896551724138,0.5678233438485805,0.6282290713050555,W2_5s_late,Raw,Feature Family (Omit),Omit Spectral,418
SVM,0.612,0.5509761388286334,0.5839080459770115,0.5669642857142857,0.6574712643678161,W2_5s_late,Raw,Feature Family (Omit),Omit Entropy,608
Logistic Regression,0.554,0.48879837067209775,0.5517241379310345,0.5183585313174947,0.5767958498626793,W2_5s_late,Raw,Feature Family (Omit),Omit Entropy,608
SVM,0.577,0.5130434782608696,0.542528735632184,0.5273743016759777,0.6224148102939682,W2_5s_late,Raw,Feature Family (Isolate),Only Time-Domain,304
Logistic Regression,0.542,0.4779270633397313,0.5724137931034483,0.5209205020920502,0.5654399348998067,W2_5s_late,Raw,Feature Family (Isolate),Only Time-Domain,304
SVM,0.598,0.5356371490280778,0.5701149425287356,0.5523385300668151,0.634136913843963,W2_5s_late,Raw,Feature Family (Isolate),Only Hjorth,57
Logistic Regression,0.572,0.50682261208577,0.5977011494252874,0.5485232067510548,0.5941002949852507,W2_5s_late,Raw,Feature Family (Isolate),Only Hjorth,57
SVM,0.617,0.5560344827586207,0.593103448275862,0.5739710789766407,0.6505645407384804,W2_5s_late,Raw,Feature Family (Isolate),Only Spectral,247
Logistic Regression,0.592,0.5271629778672032,0.6022988505747127,0.5622317596566524,0.6027423456413387,W2_5s_late,Raw,Feature Family (Isolate),Only Spectral,247
