Band,Analysis,Estimate,SE,z,CI_95_low,CI_95_high,p_value,Statistical_decision_alpha_0.05
Delta,MW minus Focus mean power,0.043474821385590896,0.036692362522923,1.1848466110196816,-0.028442209159338185,0.11539185193051998,0.23607809960302317,Not statistically significant
Delta,Focus change over time,3.974633253358455e-05,0.0028253281281153024,0.014067864237807388,-0.005497896798572408,0.005577389463639577,0.9887758385416497,Not statistically significant
Delta,MW change over time,0.004018773198486191,0.0032976369606811076,1.2186827253586268,-0.0024445952444487797,0.010482141641421161,0.2229646370124514,Not statistically significant
Theta,MW minus Focus mean power,0.05483423426287583,0.026158706792838445,2.096213497751654,0.003563168948912475,0.10610529957683917,0.03606325611244665,MW higher power
Theta,Focus change over time,-0.0014141781078260908,0.0026674053153829397,-0.5301699369310388,-0.006642292525976652,0.003813936310324471,0.5959941127988229,Not statistically significant
Theta,MW change over time,0.006928985776169412,0.0033573968437515247,2.063797072146832,0.0003484879624164241,0.0135094835899224,0.03903696079782204,Increases over time
Alpha,MW minus Focus mean power,-0.12110168526035271,0.06991039228349762,-1.7322415352679807,-0.25812605413600803,0.01592268361530262,0.08323056661709023,Not statistically significant
Alpha,Focus change over time,-0.003494225690258741,0.004184131545030966,-0.8351137273416868,-0.011695123518519434,0.004706672138001952,0.4036536783320299,Not statistically significant
Alpha,MW change over time,0.0005421349799389352,0.007937819614891128,0.06829771980732657,-0.015015991465247675,0.016100261425125544,0.9455486392227744,Not statistically significant
Beta,MW minus Focus mean power,-0.0876713416235124,0.033935055843714645,-2.583503679123918,-0.1541840510771931,-0.021158632169831687,0.009780242397643826,MW lower power
Beta,Focus change over time,-0.001852004845325488,0.0028710096389458453,-0.6450709256432495,-0.007479183737659345,0.003775174047008369,0.5188812241528591,Not statistically significant
Beta,MW change over time,-0.004065226329483986,0.0036601770162067834,-1.1106638590111073,-0.011239173281249282,0.0031087206222813095,0.2667130641954738,Not statistically significant
Gamma,MW minus Focus mean power,-0.05054940219297751,0.03554765424826794,-1.422017943573324,-0.12022280451958267,0.019124000133627646,0.15502104195276314,Not statistically significant
Gamma,Focus change over time,-0.0002908858036257812,0.0017821202246904911,-0.1632245679027074,-0.003783841444019144,0.0032020698367675815,0.8703416232121973,Not statistically significant
Gamma,MW change over time,-0.00021051557532834105,0.0017717347977273302,-0.1188188974999967,-0.0036831157788739083,0.0032620846282172262,0.9054188367050873,Not statistically significant
