Subject,Epoch,State,Epoch_Index,Window_Index,Time_s,Log10_Delta_Power,Log10_Theta_Power,Log10_Alpha_Power,Log10_Beta_Power,Log10_Gamma_Power
10,10_0,Focus,0,0,0.5,-11.037652891891577,-11.549603553119564,-11.966046943158426,-12.259835936679504,-13.191718285324516
10,10_0,Focus,0,1,1.0,-11.156889715077064,-11.851418795592894,-12.063568886481942,-12.386210255917995,-13.175003854310823
10,10_0,Focus,0,2,1.5,-10.97971614531578,-11.93878016898041,-12.371946974049507,-12.41513593872245,-13.05407005730108
10,10_0,Focus,0,3,2.0,-10.986311144740352,-11.744699530050468,-12.233333539610914,-12.522458737461443,-13.129185363070752
10,10_0,Focus,0,4,2.5,-11.202379071616047,-11.719890677606092,-12.435854191979761,-12.543508753998452,-13.095580161703394
10,10_0,Focus,0,5,3.0,-11.1588132684705,-12.018415473021578,-11.97967248899273,-12.632374868725273,-12.972368341287641
10,10_0,Focus,0,6,3.5,-11.13342648077,-11.747785414442564,-12.116181245840078,-12.333896089764963,-13.086031496346733
10,10_0,Focus,0,7,4.0,-11.110448948737403,-11.879802897742476,-12.063771525133573,-12.355390584628072,-13.236679177773329
10,10_0,Focus,0,8,4.5,-11.232458501062961,-11.782029198932447,-12.06401755439458,-12.636394872289348,-13.135691657759374
10,10_1,Focus,1,0,0.5,-10.878004292021897,-11.771117777453417,-11.890065900282595,-12.511418213328314,-13.052666740062069
10,10_1,Focus,1,1,1.0,-10.879834767895092,-11.785476871473499,-11.791976592640758,-12.51726545837546,-12.983017209574651
10,10_1,Focus,1,2,1.5,-11.098810797359558,-11.799240880390427,-11.981495739212725,-12.583692399143882,-13.08060144649816
10,10_1,Focus,1,3,2.0,-11.165323857741917,-11.730965130781714,-12.117544988443223,-12.523896513167317,-13.01401467314011
10,10_1,Focus,1,4,2.5,-10.860340081287772,-12.064938114371097,-11.857752581271175,-12.581674263938304,-13.068919250698189
10,10_1,Focus,1,5,3.0,-11.001199405762462,-11.862156830337428,-12.074404669853228,-12.508371486640396,-13.107015507728141
10,10_1,Focus,1,6,3.5,-11.041423223065685,-11.650404946681194,-11.889904561094246,-12.575051817396151,-13.044069338277394
10,10_1,Focus,1,7,4.0,-11.351457755878105,-11.71399655751325,-11.804459726986943,-12.617408242204345,-13.00787023757452
10,10_1,Focus,1,8,4.5,-11.061326856842797,-11.96419592853991,-12.12850967825939,-12.714108724060084,-13.023531866465852
10,10_2,Focus,2,0,0.5,-10.980645777934921,-11.903280008712198,-12.183171881803226,-12.455085126134547,-13.003998416993953
10,10_2,Focus,2,1,1.0,-10.791216461264586,-11.823422312653861,-12.142278731891532,-12.646270193890924,-13.050759242656891
10,10_2,Focus,2,2,1.5,-10.67170964018565,-11.720220966063485,-11.967284733916985,-12.488537082078546,-13.173888239333339
10,10_2,Focus,2,3,2.0,-10.697803732826154,-11.552998007815894,-11.64225465371878,-12.571837674237006,-13.108639119519149
10,10_2,Focus,2,4,2.5,-10.595792727790233,-11.677017427483106,-12.396979315023417,-12.670250732238037,-13.014363305102531
10,10_2,Focus,2,5,3.0,-10.817183186612267,-11.662610806136016,-12.28586038564673,-12.78042954268765,-13.167600402303503
10,10_2,Focus,2,6,3.5,-11.017093325606501,-11.69489858808128,-12.384671050599415,-12.639229205994122,-13.132107877350712
10,10_2,Focus,2,7,4.0,-10.934239449552118,-11.833186924588496,-12.208688941241045,-12.681948241724148,-13.194737107554007
10,10_2,Focus,2,8,4.5,-10.420234330424137,-11.968950684555466,-12.007067081426854,-12.602379438546787,-13.076979673753623
10,10_3,Focus,3,0,0.5,-10.952414984981296,-11.942422696733324,-12.021395830142364,-12.643736043821391,-13.136493786874778
10,10_3,Focus,3,1,1.0,-10.948400438625772,-11.768254380606574,-12.326888497157794,-12.741818241551396,-13.020573143725262
10,10_3,Focus,3,2,1.5,-11.056644677992653,-11.875561842362766,-12.113573148245948,-12.654550496413929,-13.20182806600268
10,10_3,Focus,3,3,2.0,-11.325987824823095,-11.863274088263246,-12.024205199500846,-12.524269374605908,-13.193954458893035
10,10_3,Focus,3,4,2.5,-11.198366284392318,-11.764890961238585,-11.855786000664652,-12.426046980254817,-13.115894093700364
10,10_3,Focus,3,5,3.0,-11.029486252481044,-11.685762198860004,-12.001343750335051,-12.359623682766816,-13.07162231599668
10,10_3,Focus,3,6,3.5,-10.84433305486593,-11.67766300592371,-12.061274162626598,-12.60658442002245,-13.193904613814645
10,10_3,Focus,3,7,4.0,-11.063778924358637,-12.020148596619759,-12.047145289208377,-12.3784910469958,-13.156680565357599
10,10_3,Focus,3,8,4.5,-10.798667950001512,-11.828888762137959,-12.010402684028955,-12.503303960818828,-13.108881966123974
10,10_4,MW,4,0,0.5,-11.112673670830919,-11.897058345532184,-12.417958203618056,-12.573714266595989,-13.265063175470047
10,10_4,MW,4,1,1.0,-11.326371962491883,-12.00275840057655,-12.091386904187068,-12.557186201824862,-13.264577456171512
10,10_4,MW,4,2,1.5,-11.553393669431225,-11.746773229527452,-12.237990782401747,-12.598446476063051,-13.223661586354963
10,10_4,MW,4,3,2.0,-11.207039413588307,-11.90712028147152,-12.214242711068186,-12.415196884835666,-13.218991660158174
10,10_4,MW,4,4,2.5,-11.269504857478617,-11.775586100697424,-12.121491749676876,-12.69991135893642,-13.372590348155475
10,10_4,MW,4,5,3.0,-10.963881556653098,-11.85425603469237,-12.382110451363186,-12.632439900820492,-13.402694845803948
10,10_4,MW,4,6,3.5,-11.12836109885209,-12.157383242159222,-12.214520452856638,-12.407535337142345,-13.31025623021342
10,10_4,MW,4,7,4.0,-11.345614943684378,-12.038759596292024,-12.029250749058834,-12.602962778093568,-13.177573717279081
10,10_4,MW,4,8,4.5,-11.11634689899301,-11.876081588775719,-12.184736789581665,-12.401619811854578,-12.637363603445847
10,10_5,MW,5,0,0.5,-11.224245773020728,-12.060084152022526,-12.037093483397504,-12.616448489683862,-13.17455977233881
10,10_5,MW,5,1,1.0,-11.011352840490627,-11.833173972181607,-12.41731185930263,-12.72098967640493,-13.30980567397916
10,10_5,MW,5,2,1.5,-11.085253005362672,-11.825355735928078,-12.287509148454646,-12.724102762819333,-13.194088175453873
10,10_5,MW,5,3,2.0,-11.23825743568256,-11.99554087486876,-12.23891058625605,-12.317877891209815,-13.202033989856597
10,10_5,MW,5,4,2.5,-11.379984513314824,-12.080821057502297,-11.938949734351544,-12.449704573651264,-13.0894050327718
10,10_5,MW,5,5,3.0,-11.297236021420925,-11.753066427560269,-12.059840733101666,-12.623218862375968,-13.130607315921209
10,10_5,MW,5,6,3.5,-11.01420072820485,-11.991811535336204,-12.215572868161123,-12.549371981834593,-13.106218412915803
10,10_5,MW,5,7,4.0,-11.10553991691041,-11.8989191616755,-11.899934016528054,-12.67217721917291,-13.013822801835463
10,10_5,MW,5,8,4.5,-11.397921420013654,-11.957939266957363,-11.934969176828726,-12.641101670487554,-13.064407920261264
10,10_6,Focus,6,0,0.5,-11.198425245677607,-11.727351025154825,-11.923108477399765,-12.618870402743433,-13.181614598634825
10,10_6,Focus,6,1,1.0,-11.096427087199698,-11.829124678479188,-12.021922541776023,-12.498346131616271,-13.221255681974673
10,10_6,Focus,6,2,1.5,-11.094422478854959,-11.613951809643291,-11.284432397252644,-12.173960383154293,-13.112242039914607
10,10_6,Focus,6,3,2.0,-11.136662629799623,-11.856748783216464,-12.121027313741333,-12.520185349528845,-13.188533333243614
10,10_6,Focus,6,4,2.5,-11.366309205930206,-11.901892911280152,-12.067006343585186,-12.66429039676127,-13.301742892652213
10,10_6,Focus,6,5,3.0,-11.292752784024135,-11.698031486988528,-11.953524374012874,-12.753695304074165,-13.244681650500429
10,10_6,Focus,6,6,3.5,-11.238047882499414,-11.868540231496846,-12.223569881399374,-12.574332577935309,-13.2521626731616
10,10_6,Focus,6,7,4.0,-11.192968690041242,-11.929449749868587,-12.20318843212103,-12.634287258879978,-13.237319712195932
10,10_6,Focus,6,8,4.5,-11.334672657440338,-11.987298113414447,-12.394245287767177,-12.751278990764998,-13.237885925297364
10,10_7,Focus,7,0,0.5,-11.0983810512962,-12.039348359126143,-12.090732328799508,-12.806737365160181,-13.16331210521665
10,10_7,Focus,7,1,1.0,-11.163394989608605,-12.040936563704014,-12.234101424195213,-12.722098861131574,-13.305041952104023
10,10_7,Focus,7,2,1.5,-11.240504496210477,-11.88325352428524,-12.217476807150888,-12.654586710544162,-13.354615266613088
10,10_7,Focus,7,3,2.0,-11.180957265503046,-11.886278278390167,-12.410042525650486,-12.786869017587824,-13.259918702726736
10,10_7,Focus,7,4,2.5,-11.402517725501001,-11.869833585140553,-12.131294857864823,-12.795874994797805,-13.22476312078251
10,10_7,Focus,7,5,3.0,-11.276182731243026,-12.05435833680076,-12.317341908438978,-12.71881465170433,-13.201060199408563
10,10_7,Focus,7,6,3.5,-11.390928819317935,-12.161328574889541,-12.359345596060757,-12.895111251276553,-13.29054574680357
10,10_7,Focus,7,7,4.0,-11.320462370036209,-11.7592668192805,-12.21338567286568,-12.723430954463415,-13.274451824006759
10,10_7,Focus,7,8,4.5,-11.166451170424024,-11.863376011885771,-12.125995621785794,-12.670993974444002,-13.307049065754864
10,10_8,Focus,8,0,0.5,-10.708425755310264,-11.01806767175622,-10.88552047083082,-12.364602025864018,-13.142125272554692
10,10_8,Focus,8,1,1.0,-11.1647601920294,-11.761557375043205,-11.780387278063511,-12.465373030638451,-13.257524034009538
10,10_8,Focus,8,2,1.5,-11.14687581246447,-11.711643351716937,-11.766314479720194,-12.62208680696714,-13.342411464035706
10,10_8,Focus,8,3,2.0,-11.213738052771818,-11.753795753791515,-12.064406041793818,-12.564061258311526,-13.328937486014103
10,10_8,Focus,8,4,2.5,-11.147186133833028,-11.883607753562245,-12.053072759916093,-12.59046065171702,-13.353352086891585
10,10_8,Focus,8,5,3.0,-11.185748267924389,-11.966030290085362,-12.268097357080658,-12.671240182634973,-13.395407598473414
10,10_8,Focus,8,6,3.5,-11.246570072089831,-11.993893604334959,-12.091191134954261,-12.490039002906949,-13.471849570542977
10,10_8,Focus,8,7,4.0,-11.175315746122445,-11.895616700573294,-12.046311795999346,-12.472586349541892,-13.282434239365546
10,10_8,Focus,8,8,4.5,-11.14012492783998,-11.744747586043085,-12.172491901297283,-12.604223136246844,-13.28851553994568
10,10_9,Focus,9,0,0.5,-11.142736211907902,-11.763348786242172,-11.225668572946127,-12.409993175785434,-13.191614320455624
10,10_9,Focus,9,1,1.0,-11.000743094520645,-11.142897825000926,-11.155923685823057,-12.394700415343426,-13.161250223497898
10,10_9,Focus,9,2,1.5,-11.262413329753862,-11.574405779884513,-11.401632132984771,-12.265189118621056,-13.323373152849497
10,10_9,Focus,9,3,2.0,-11.11670186392078,-11.483766334466962,-11.972814561182783,-12.55376672606787,-13.347447116237602
10,10_9,Focus,9,4,2.5,-11.068299852230442,-11.4306529964567,-11.801233200396434,-12.373557502709543,-12.708693221440392
10,10_9,Focus,9,5,3.0,-11.278793569173416,-11.76118625835323,-11.680628259286706,-12.591058655292935,-13.238363105253981
10,10_9,Focus,9,6,3.5,-11.256036821728905,-11.806797528899155,-12.231953765055033,-12.835223622194722,-13.269593369987723
10,10_9,Focus,9,7,4.0,-11.178856172123242,-11.911951879297618,-12.057405955813211,-12.56674929985881,-13.276751326735809
10,10_9,Focus,9,8,4.5,-11.188156746802536,-11.732373699581112,-11.794667768937776,-12.366745819713804,-13.253374940587168
10,10_10,Focus,10,0,0.5,-11.157422692773368,-11.759544613175263,-12.30858721401723,-12.67215431683482,-13.136125741042003
10,10_10,Focus,10,1,1.0,-10.884341821893795,-11.999623960230226,-12.258144202992133,-12.849000081093708,-13.259599510468064
10,10_10,Focus,10,2,1.5,-11.091668992860487,-11.848924785022596,-12.186263680940545,-12.709319281823177,-13.28728754491414
