Subject,Epoch,State,Mean_log10_power,N_Windows,Slope_log10_power_per_second
1,1_0,Focus,-12.493599376283967,9,-0.02924827933653449
1,1_1,Focus,-12.526641886868271,9,-0.012540988858068548
1,1_10,Focus,-12.527863267965559,9,-0.02313146777505935
1,1_11,Focus,-12.542971727314841,9,-0.005702367031758749
1,1_12,Focus,-12.600674597802378,9,-0.023324017971654613
1,1_13,Focus,-12.45999924791158,9,-0.01164066017603559
1,1_14,MW,-12.432268331727528,9,0.025246354927014124
1,1_15,Focus,-12.430765657385997,9,-0.03146283687729237
1,1_16,MW,-12.585146434223349,9,-0.11599783494856546
1,1_17,Focus,-12.61717635171969,9,-0.06242759099663631
1,1_18,Focus,-12.56833482209978,9,-0.003766420626637434
1,1_19,Focus,-12.645800072671497,9,0.010321440584416646
1,1_2,MW,-12.50206772433294,9,0.0454081254639427
1,1_20,Focus,-12.335051201179905,9,-0.1393039642159549
1,1_21,Focus,-12.588808045127722,9,0.05044749572798908
1,1_22,Focus,-12.669969316266176,9,0.06633733695660585
1,1_23,Focus,-12.655493176645983,9,0.022453597628574674
1,1_24,MW,-12.591319298038263,9,-0.046601045418575085
1,1_25,Focus,-12.483860258083386,9,-0.04419218126416056
1,1_26,Focus,-12.579901914258306,9,0.045729451192685996
1,1_27,MW,-12.570436862163056,9,-0.005137102183894533
1,1_28,Focus,-12.44422620747424,9,0.01449073014611638
1,1_29,Focus,-12.472489567259585,9,-0.05694045565966749
1,1_3,Focus,-12.512610818422539,9,-0.040229669330346114
1,1_30,Focus,-12.471934180497907,9,0.09362436748511448
1,1_31,Focus,-12.52781927907593,9,0.12230076462461682
1,1_32,Focus,-12.4840508616779,9,-0.04888259025206676
1,1_33,MW,-12.546350380578554,9,-0.02650200071910057
1,1_34,Focus,-12.553568135202708,9,-0.11556546973125126
1,1_35,Focus,-12.562912741380643,9,-0.02288431851827481
1,1_36,Focus,-12.50218110856244,9,0.029013177387914157
1,1_37,Focus,-12.618638124148205,9,-0.06740568757307097
1,1_38,Focus,-12.694977510006243,9,0.03544836865411358
1,1_39,Focus,-12.468913605472755,9,-0.03601086294616225
1,1_4,Focus,-12.516522845966229,9,-0.012262050048843015
1,1_5,MW,-12.59569535147575,9,0.0014495710198058707
1,1_6,Focus,-12.351583786845321,9,-0.028232636324522335
1,1_7,Focus,-12.477703670898418,9,0.0006143963780178098
1,1_8,MW,-12.593361086452314,9,-0.06036095801124594
1,1_9,MW,-12.391592317191428,9,-0.012862418266627443
2,2_0,Focus,-10.979064870365978,9,0.026966790129038284
2,2_1,Focus,-11.050920834871768,9,0.00010679937020137537
2,2_10,MW,-11.274410511356676,9,0.1414594724723834
2,2_11,MW,-10.996608308912275,9,-0.06997046090497197
2,2_12,MW,-11.028768698611891,9,-0.002232910068887779
2,2_13,Focus,-11.264812149303145,9,0.07391177182459253
2,2_14,Focus,-11.181860661306793,9,0.03733842981721927
2,2_15,MW,-11.219099881113777,9,0.03023101600294326
2,2_16,MW,-11.4178178139951,9,0.09508597430339426
2,2_17,MW,-11.00220821474459,9,0.03794833723570199
2,2_18,MW,-11.06667363702569,9,0.004850674966943496
2,2_19,Focus,-11.242437206386851,9,0.011460939380940073
2,2_2,MW,-10.944651331306465,9,0.06827888649378196
2,2_20,MW,-11.250776243184028,9,-0.14366529363558614
2,2_21,MW,-12.024457678151972,9,-0.05052847131539457
2,2_22,MW,-12.263181628973898,9,-0.009890489209623996
2,2_23,Focus,-11.9631788174206,9,0.15581478317898642
2,2_24,MW,-11.659023437614627,9,0.19331457084397755
2,2_25,Focus,-11.708019512896136,9,-0.3006562427569381
2,2_26,MW,-11.984225285284849,9,0.14868055660019158
2,2_27,MW,-11.497199947574508,9,-0.011074109297609285
2,2_28,MW,-12.114045472899717,9,0.10440588918419764
2,2_29,MW,-12.311852846763212,9,0.07664625588834356
2,2_3,Focus,-11.14903064760244,9,-0.054857054385457384
2,2_30,MW,-12.29505236483801,9,-0.04960632093406302
2,2_31,MW,-12.27635255347073,9,0.012944061308721501
2,2_32,MW,-12.254787586866435,9,0.026864402802070978
2,2_33,Focus,-11.960584469898581,9,0.1486002539512307
