Subject,Epoch,State,Mean_log10_power,N_Windows,Slope_log10_power_per_second
1,1_0,Focus,-12.858630526351002,9,0.005786076135124545
1,1_1,Focus,-12.779112708592725,9,-0.03339076317793947
1,1_10,Focus,-12.737610726584272,9,-0.04504007504690538
1,1_11,Focus,-12.819851702210292,9,0.020562361626500665
1,1_12,Focus,-12.765090393509512,9,0.00032437897325091595
1,1_13,Focus,-12.836595998657026,9,-0.029406727450292623
1,1_14,MW,-12.653681831492527,9,-0.04631430955621822
1,1_15,Focus,-12.802411785055778,9,0.00010680884174936143
1,1_16,MW,-12.843192791666164,9,-0.04888990598542556
1,1_17,Focus,-12.88344769639541,9,0.012272794131644974
1,1_18,Focus,-12.825656072163229,9,-0.03815268318574283
1,1_19,Focus,-12.865982998165995,9,-0.04776160409468908
1,1_2,MW,-12.776899144518747,9,0.06820297810168023
1,1_20,Focus,-12.815214094174571,9,0.007620107969819776
1,1_21,Focus,-12.842978741091947,9,0.05753713984775752
1,1_22,Focus,-12.852306877754017,9,-0.000833007512474553
1,1_23,Focus,-12.876168053670458,9,0.0024770787269068908
1,1_24,MW,-12.668262329064325,9,0.03960864968968098
1,1_25,Focus,-12.689990912448792,9,0.0016736763150386096
1,1_26,Focus,-12.849314204689511,9,0.004172944131945772
1,1_27,MW,-12.786924899208113,9,-0.0025967082404179465
1,1_28,Focus,-12.828423968939976,9,0.03528256321019101
1,1_29,Focus,-12.628336247478103,9,-0.07866993911548896
1,1_3,Focus,-12.563416149553696,9,-0.02214144554527379
1,1_30,Focus,-12.6392721148178,9,0.013819723371244081
1,1_31,Focus,-12.672303581415637,9,0.025340079189012397
1,1_32,Focus,-12.772178361789871,9,-0.04883108839993965
1,1_33,MW,-12.741664490879035,9,0.0028537367438283665
1,1_34,Focus,-12.919751237903741,9,-0.07973120973806037
1,1_35,Focus,-12.842540495976317,9,-0.00022750469787460585
1,1_36,Focus,-12.77750922806589,9,-0.018382448947250538
1,1_37,Focus,-12.980176710538514,9,-0.018722942389927288
1,1_38,Focus,-12.98267256814539,9,-0.0038388091870939344
1,1_39,Focus,-12.911887950218876,9,0.023758686047685773
1,1_4,Focus,-12.664591616433281,9,0.024411668546171272
1,1_5,MW,-12.889855820827757,9,0.01872515829827285
1,1_6,Focus,-12.496763883883062,9,0.018968684815662724
1,1_7,Focus,-12.727943744528261,9,0.032436671383851465
1,1_8,MW,-12.733529170425877,9,-0.05173027358079957
1,1_9,MW,-12.72205504481422,9,-0.022804906505137473
10,10_0,Focus,-12.453911782020832,9,-0.045373772063947666
10,10_1,Focus,-12.570320790917139,9,-0.03594614014637837
10,10_10,Focus,-12.770010937701512,9,0.025730234003338577
10,10_11,Focus,-12.74800206406401,9,0.01836982025159775
10,10_12,Focus,-12.645833169880792,9,-0.03129704465486241
10,10_13,Focus,-12.587007687069322,9,-0.07818095844875726
10,10_14,MW,-12.587995906896547,9,0.03752928598763275
10,10_15,MW,-12.509688086287493,9,0.06371890346352042
10,10_16,Focus,-12.61274480160607,9,0.054242164276412104
10,10_17,MW,-12.668926845648219,9,-0.0067921020276447055
10,10_18,Focus,-12.84619740522206,9,0.01690425492364961
10,10_19,MW,-12.632480363180175,9,-0.06492087150096862
10,10_2,Focus,-12.615107470836863,9,-0.040206250314347436
10,10_20,Focus,-12.547787053433389,9,0.022363966896147437
10,10_21,Focus,-12.606152720137516,9,-0.06413869279899924
10,10_22,Focus,-12.65695436627933,9,-0.01806034177151598
10,10_23,Focus,-12.717715345442683,9,0.027725040184750492
10,10_24,Focus,-12.704570413163212,9,0.004573282946057272
10,10_25,Focus,-12.708173878762928,9,0.0294469631766929
10,10_26,Focus,-12.671466009514099,9,0.00831005049989146
10,10_27,MW,-12.815414048229302,9,0.024970450716135902
10,10_28,Focus,-12.698260799078055,9,0.052734005623825186
10,10_29,Focus,-12.432526374645237,9,-0.029191669168717363
10,10_3,Focus,-12.537602694139036,9,0.06374292534330281
10,10_30,Focus,-12.317042161470669,9,0.004899518187110788
10,10_31,Focus,-12.36379385285473,9,-0.012263880272601084
10,10_32,Focus,-12.331680031885945,9,0.027240853877835845
10,10_33,Focus,-12.251981960694692,9,-0.014100738129212117
10,10_34,Focus,-12.311714240784761,9,-0.09242513419723196
10,10_35,Focus,-12.292747992289863,9,-0.025818640728810863
10,10_36,Focus,-12.325610674082732,9,-0.030625292262783987
10,10_37,Focus,-12.375222090016173,9,0.13194605999021983
10,10_38,Focus,-12.515158304655833,9,0.170551322021135
10,10_39,Focus,-12.702950964587313,9,-0.030364103324792568
10,10_4,MW,-12.543223668462996,9,0.023854245067205546
10,10_5,MW,-12.590554791960026,9,0.0030648413094879084
10,10_6,Focus,-12.576582977273175,9,-0.06572373593282313
10,10_7,Focus,-12.752724197901095,9,0.004199418909597659
10,10_8,Focus,-12.53829693831431,9,-0.027440257148155095
10,10_9,Focus,-12.484109370620843,9,-0.05068393885439963
11,11_0,Focus,-12.344870602769946,9,-0.0293732034485442
11,11_1,Focus,-12.372013595918881,9,0.017747709883321878
11,11_10,MW,-12.552728982129842,9,-0.10486727602335597
11,11_11,Focus,-12.346696129287732,9,-0.08958908562016124
11,11_12,Focus,-12.443753012807028,9,0.06918858912368772
11,11_13,MW,-12.578920103020277,9,-0.055653976432452124
11,11_14,MW,-12.540902410562772,9,0.02546287756334634
11,11_15,MW,-12.708308040348605,9,-0.039875726684208246
11,11_16,MW,-12.515597762827902,9,0.11870156466334983
11,11_17,Focus,-12.66800383145612,9,0.02335098389221245
11,11_18,Focus,-12.618942531990578,9,0.06572975899352831
11,11_19,MW,-12.514160812737689,9,0.13555023237749106
11,11_2,MW,-12.658301934896892,9,0.026386348351697203
11,11_20,MW,-12.59637356487904,9,0.07369804904338982
11,11_21,MW,-12.578260104408406,9,0.057984850387856474
11,11_22,MW,-12.647552034244653,9,-0.006742336264384819
11,11_23,MW,-12.638428715878758,9,-0.0040564342139859585
11,11_24,MW,-12.656352859156804,9,0.040388231229775494
11,11_25,MW,-12.676212668148302,9,-0.006463955916243655
11,11_26,Focus,-12.535277618403045,9,-0.037291367709410314
11,11_27,MW,-12.678599326877382,9,-0.028058102336726405
11,11_28,Focus,-12.260009957752983,9,-0.013336193369819373
11,11_29,Focus,-12.500777425277143,9,-0.04110296886986178
11,11_3,Focus,-12.649597152096257,9,-0.02511190120050175
11,11_30,MW,-12.369217162820657,9,-0.13506271762080566
11,11_31,MW,-12.569133780621222,9,-0.035114679085250004
11,11_32,MW,-12.750958339469284,9,0.01287973876194242
11,11_33,MW,-12.643637379262307,9,0.08004085393468431
11,11_34,Focus,-12.475576929644326,9,0.10808751445070708
11,11_35,MW,-12.524473683642015,9,0.06469321381761116
11,11_36,Focus,-12.596804214142976,9,0.0300524121419521
11,11_37,MW,-12.576719334318224,9,-0.05045235491563757
11,11_38,Focus,-12.430422843600198,9,0.12655446335629414
11,11_39,Focus,-12.275307535982087,9,-0.06616761627638183
11,11_4,Focus,-12.321811700056836,9,-0.013060935815061287
11,11_5,MW,-12.415267596193978,9,-0.039494842752361016
11,11_6,MW,-12.597217820973784,9,-0.10584690694492989
11,11_7,MW,-12.65090032372949,9,-0.010617459170230895
11,11_8,Focus,-12.508418415692386,9,-0.0066665093371952085
11,11_9,MW,-12.642938712721234,9,-0.10442485731641517
12,12_0,Focus,-12.202620621622664,9,0.05271438168104153
12,12_1,Focus,-12.384764637617549,9,-0.026897830914973817
12,12_10,Focus,-12.558866589634816,9,0.0631346982504188
12,12_11,Focus,-12.41557648499453,9,0.062221487817185145
12,12_12,MW,-12.348211347568444,9,-0.08492515724643421
12,12_13,Focus,-12.698971778314048,9,0.05962188097905353
12,12_14,Focus,-12.627914280768252,9,-0.07127640382314603
12,12_15,Focus,-12.558679160508937,9,0.05909111035027568
12,12_16,Focus,-12.699708633486544,9,-0.013932517276189561
12,12_17,MW,-12.621110914535796,9,-0.05097960862082648
12,12_18,Focus,-12.458291724048461,9,-0.021894821765226134
12,12_19,MW,-12.597356701638219,9,0.05053162839370872
12,12_2,Focus,-12.37887369331913,9,0.11801256393492197
12,12_20,Focus,-12.70706420132316,9,-0.04599988213223709
12,12_21,Focus,-12.392202614857695,9,0.005226647738609654
12,12_22,Focus,-12.6380501760845,9,-0.033808703495776325
12,12_23,MW,-12.573824581337615,9,-0.06537875412943214
12,12_24,Focus,-12.399631305855602,9,-0.016134743102222456
12,12_25,MW,-12.605437607626149,9,-0.0006423870121510825
12,12_26,MW,-12.733692243016101,9,-0.005548762004739064
12,12_27,Focus,-12.605345910962807,9,0.01750431775878189
12,12_28,Focus,-12.629152314023791,9,-0.16863691744694181
12,12_29,Focus,-12.478437605204638,9,-0.05564506102048162
12,12_3,Focus,-12.31767608647325,9,-0.1282390651318882
12,12_30,Focus,-12.50733462333703,9,0.06264397449427844
12,12_31,MW,-12.760649240213521,9,-0.04391617239983351
12,12_32,Focus,-12.638391779334084,9,0.15589290378166198
12,12_33,Focus,-12.659346827447404,9,-0.0659720585409995
12,12_34,MW,-12.580594049452225,9,-0.134277914337851
12,12_35,MW,-12.646719220229361,9,-0.02647222751504945
12,12_36,MW,-12.76752403556517,9,0.0014394228090561442
12,12_37,MW,-12.625271811231219,9,-0.16384018263407285
12,12_38,Focus,-12.065888155233166,9,-0.08249555594246445
12,12_39,Focus,-12.408530270517298,9,-0.06508241836998557
12,12_4,Focus,-12.530474791360623,9,-0.06907647376239787
12,12_5,Focus,-12.328483056309757,9,-0.022292748758535586
12,12_6,Focus,-12.254131131473413,9,0.0926109792593242
12,12_7,Focus,-12.570412978870337,9,0.054728451275960384
12,12_8,Focus,-12.272922807712073,9,-0.00634372937614012
12,12_9,Focus,-12.382638059400003,9,-0.18199408264523526
13,13_0,Focus,-12.226001122142456,9,-0.07750922131759254
13,13_1,Focus,-12.079976655792011,9,-0.04650795212407491
13,13_10,Focus,-12.090718737390999,9,0.05917498294928113
13,13_11,Focus,-12.228391915206696,9,-0.017370805095640145
13,13_12,Focus,-12.25248289911182,9,0.09361654836498727
13,13_13,Focus,-12.209277561313634,9,0.07952680952581237
13,13_14,MW,-12.105882339272197,9,-0.016332029704475975
13,13_15,Focus,-12.121434696175037,9,-0.012105003546194147
13,13_16,MW,-12.228157076623972,9,0.04214449011827775
13,13_17,Focus,-12.117960792654813,9,-0.012915355806690482
13,13_18,Focus,-12.117303426724568,9,-0.028158939717739934
13,13_19,Focus,-12.089906719705684,9,0.043044481397734716
13,13_2,Focus,-12.296780762347574,9,0.04436312763427743
13,13_20,Focus,-12.235920820583624,9,-0.03524657599092924
13,13_21,Focus,-12.272054835750218,9,0.011376222166767836
13,13_22,MW,-12.559929739101314,9,0.036512724130440134
13,13_23,Focus,-12.260137904296133,9,0.04446212144705951
13,13_24,Focus,-12.309885115260123,9,0.03572536480118808
