Subject,Epoch,State,Mean_log10_power,N_Windows,Slope_log10_power_per_second
1,1_0,Focus,-11.750529410762509,9,0.02960410813550379
1,1_1,Focus,-11.700631209274144,9,-0.04231743392882672
1,1_10,Focus,-11.72853750966111,9,-0.036051185662312725
1,1_11,Focus,-11.78649709331183,9,-0.004598615711608953
1,1_12,Focus,-11.75100365637983,9,-0.04811627421835329
1,1_13,Focus,-11.811574998394436,9,0.01926498810184041
1,1_14,MW,-11.789789736099365,9,-0.06754651853675166
1,1_15,Focus,-11.718899979326688,9,-0.016300024357452793
1,1_16,MW,-11.675605954111544,9,-0.07843751528344214
1,1_17,Focus,-11.713738230609035,9,0.04499027326308342
1,1_18,Focus,-11.649565943809838,9,0.01186673895921295
1,1_19,Focus,-11.735517928134438,9,0.012337903761170006
1,1_2,MW,-11.540398388764388,9,-0.0087487230084823
1,1_20,Focus,-11.857348816636135,9,-0.04908229883766119
1,1_21,Focus,-11.688864264789999,9,0.12323662750190724
1,1_22,Focus,-11.917606346639012,9,-0.05929729083504913
1,1_23,Focus,-11.77222699957923,9,-0.03675392879984982
1,1_24,MW,-11.753324709072025,9,0.10325081369885868
1,1_25,Focus,-11.716915562451065,9,0.00902078948714443
1,1_26,Focus,-11.85627370267121,9,-0.07794702843514449
1,1_27,MW,-11.841029848209464,9,-0.027049944737694
1,1_28,Focus,-11.809332253093816,9,0.061009620872964236
1,1_29,Focus,-11.907404311539059,9,-0.04459355983567028
1,1_3,Focus,-11.729831469692272,9,-0.09744325110438462
1,1_30,Focus,-11.908334219049618,9,0.06439358115545392
1,1_31,Focus,-11.89975943872761,9,0.11103230480013222
1,1_32,Focus,-11.838362222904951,9,-0.0475508142773985
1,1_33,MW,-11.777728885273621,9,0.16253860641555615
1,1_34,Focus,-11.825283065276643,9,-0.04676499473738579
1,1_35,Focus,-11.855633407803545,9,-0.09611834630973
1,1_36,Focus,-11.825797394198853,9,-0.05665457455278399
1,1_37,Focus,-11.880130742600622,9,-0.015494322548097066
1,1_38,Focus,-11.888022673851054,9,-0.03351725906211309
1,1_39,Focus,-11.90007830320932,9,-0.13940043763131496
1,1_4,Focus,-11.570538088202248,9,0.009109653747087674
1,1_5,MW,-11.789732929594265,9,0.042358439065882283
1,1_6,Focus,-11.748976002247124,9,0.004524451667087614
1,1_7,Focus,-11.68708548202712,9,-0.0023953756419336407
1,1_8,MW,-11.832961559125335,9,0.03325516312671521
1,1_9,MW,-11.779437884344873,9,-0.013686925982056394
2,2_0,Focus,-11.369450466519329,9,0.029826968649675618
2,2_1,Focus,-11.40429978852846,9,0.018501723224466398
2,2_10,MW,-11.419165349287157,9,0.021538186122855452
2,2_11,MW,-11.220177467225419,9,0.016442938044596487
2,2_12,MW,-11.328769734147578,9,-0.04756757867791028
2,2_13,Focus,-11.330450605406991,9,0.034135592811238534
2,2_14,Focus,-11.395101341413202,9,0.05058130666758193
2,2_15,MW,-11.34467257898247,9,0.02213003036089615
2,2_16,MW,-11.282909093476844,9,0.02885031583516234
2,2_17,MW,-11.467155263101027,9,0.06638902428745046
2,2_18,MW,-11.324207990041534,9,0.0005536426820749915
2,2_19,Focus,-11.30944468154479,9,0.08258982060012457
2,2_2,MW,-11.027532266157941,9,-0.1726156822530697
2,2_20,MW,-11.305355483686418,9,-0.051940396539071836
2,2_21,MW,-11.443532516288224,9,0.040258110351571355
2,2_22,MW,-11.35564522694319,9,0.10165473798986681
2,2_23,Focus,-11.22897892817663,9,-0.003851419378949042
2,2_24,MW,-11.405456927697115,9,0.022154943412708673
2,2_25,Focus,-11.427056904554448,9,-0.03945780714218817
2,2_26,MW,-11.385337926132982,9,0.03880825908700013
2,2_27,MW,-11.533683858944196,9,-0.016527973624637107
2,2_28,MW,-11.277264920805662,9,0.06019043298501121
2,2_29,MW,-11.429447476042313,9,-0.02966282910283609
2,2_3,Focus,-11.19443698254553,9,-0.05651774191618418
2,2_30,MW,-11.435569492180484,9,-0.03106738884889303
2,2_31,MW,-11.28647331971602,9,-0.02238539384687003
2,2_32,MW,-11.41689247580711,9,0.00788749684305788
2,2_33,Focus,-11.392716235761839,9,0.05069918892576479
2,2_34,MW,-11.338581736166423,9,0.003976442796558368
2,2_35,MW,-11.369779987704854,9,0.051200542680542284
2,2_36,MW,-11.349967383772572,9,-0.012773703996138667
2,2_37,MW,-11.428077565305692,9,-0.08254677117599167
2,2_38,Focus,-11.414325122484762,9,0.012346588249594061
2,2_4,Focus,-11.199965483598804,9,0.05379552722834785
2,2_5,MW,-11.140501222862902,9,0.012246648605116081
2,2_6,MW,-11.173274133982321,9,0.010021219532707966
2,2_7,Focus,-11.252065234726679,9,0.06382074186287368
2,2_8,MW,-11.24805329595498,9,-0.04471758478065899
2,2_9,MW,-11.219739812961185,9,0.008355752289847822
3,3_0,MW,-11.375755073745564,9,-0.06140535524917145
3,3_1,Focus,-11.287858293571546,9,0.05954194326649009
3,3_10,MW,-11.481303915428525,9,-0.0408233214881966
3,3_11,Focus,-11.372565942216102,9,-0.03188748056490895
3,3_12,MW,-11.361594808192278,9,0.0388130566792117
3,3_13,Focus,-11.481580772393974,9,-0.04506559315291364
3,3_14,MW,-11.363299854074567,9,-0.04040734819933132
3,3_15,Focus,-11.434294916718216,9,0.07447614016355988
3,3_16,Focus,-11.396470932070613,9,0.09198393840571287
3,3_17,MW,-11.363817455845984,9,0.06099615844342116
3,3_18,Focus,-11.440013173943392,9,-0.0006812355822863374
3,3_19,Focus,-11.465113568500534,9,0.04969096617557892
3,3_2,Focus,-11.332887403824165,9,-0.026713002965926335
3,3_20,Focus,-11.520044685089424,9,0.0014691345745680721
3,3_21,Focus,-11.458740310382233,9,0.12168445975222604
3,3_22,MW,-11.473965382259454,9,0.009926495795525686
3,3_23,Focus,-11.345924072887758,9,-0.05293876837714312
3,3_24,Focus,-11.400913097201768,9,-0.01094287857857853
3,3_25,Focus,-11.40764867258445,9,-0.02173239354799965
3,3_26,MW,-11.490849872121983,9,-0.01620945300984085
3,3_27,MW,-11.336621647439522,9,0.00024169882848168434
3,3_28,Focus,-11.431105136931428,9,0.06437896610774337
3,3_29,Focus,-11.338881830570102,9,0.07912952977726535
3,3_3,Focus,-11.355379529868483,9,0.03348750224213884
3,3_30,Focus,-11.553408416699956,9,0.08640158631036005
3,3_31,Focus,-11.529008650085103,9,-0.07046175806609445
3,3_32,Focus,-11.530649282999672,9,9.804588207679801e-05
3,3_33,Focus,-11.588286115967865,9,0.008183841187501664
3,3_34,Focus,-11.57505282292611,9,-0.13540655223286288
3,3_35,Focus,-11.427428567460511,9,0.007954960450716739
3,3_36,Focus,-11.441513511296954,9,0.0948637465713038
3,3_37,Focus,-11.510401993147283,9,0.04888773355568695
3,3_38,Focus,-11.56892601650294,9,0.05357186882721121
3,3_39,MW,-11.598249273981086,9,0.09693894927891326
3,3_4,Focus,-11.35840103379848,9,-0.0023035869773563385
3,3_5,MW,-11.39258539799997,9,0.029938002835288628
3,3_6,Focus,-11.431694360683442,9,-0.06837762994304696
3,3_7,Focus,-11.429258027786553,9,0.05932842637366881
3,3_8,MW,-11.468779793607958,9,0.03541122054628366
3,3_9,Focus,-11.353436464834346,9,-0.03457114501092899
5,5_0,Focus,-11.327683934429082,9,0.0694567597702404
5,5_1,Focus,-11.378251102408523,9,0.049273403936105305
5,5_10,Focus,-11.37461093308617,9,0.0427481383360453
5,5_11,Focus,-11.54854135956699,9,-0.00880945717384975
5,5_12,Focus,-11.34273727155849,9,-0.017275071288416613
5,5_13,MW,-11.438687577448553,9,-0.0032815826267728622
5,5_14,Focus,-11.501266214136235,9,0.09507972581153462
5,5_15,Focus,-11.387213134724995,9,-0.0355143418330486
5,5_16,Focus,-11.45429448106524,9,0.017167496924873776
5,5_17,Focus,-11.389792384169317,9,-0.004388988899348645
5,5_18,Focus,-11.471782666074544,9,-0.03823468705340728
5,5_19,Focus,-11.347331577562407,9,-0.04234517923347708
5,5_2,Focus,-11.386287690668603,9,-0.01946059643290464
5,5_20,MW,-11.169521667909315,9,0.211378888375957
5,5_21,Focus,-11.480409611715968,9,-0.033830175112025934
5,5_22,Focus,-11.350561224196722,9,-0.020338568626359084
5,5_23,MW,-11.468352037300711,9,-0.08073893884757971
5,5_24,Focus,-11.432542663243495,9,-0.09450591645216712
5,5_25,MW,-11.307856869057142,9,-0.017775074663372983
5,5_26,MW,-11.452793494422377,9,-0.04968998122364908
5,5_27,Focus,-11.482604783909338,9,-0.029661671128491777
5,5_28,MW,-11.271052911392424,9,-0.1581490205285032
5,5_29,Focus,-11.315938668357902,9,0.1086777758052461
5,5_3,Focus,-11.445323480878042,9,-0.03420956746625945
5,5_30,MW,-11.437251174455087,9,0.06568326495003891
5,5_31,Focus,-11.229355220484662,9,-0.15148988182859194
5,5_32,MW,-11.457123722861782,9,0.14879753735752205
5,5_33,Focus,-11.242313802993571,9,0.11560677230656269
5,5_34,MW,-11.313659539872646,9,0.06803639134907145
5,5_35,MW,-11.409708762901863,9,-0.04729734363410624
5,5_36,MW,-11.160662520106909,9,-0.17198053470775798
5,5_37,Focus,-11.593631600878597,9,-0.005366086462125061
5,5_38,MW,-11.291128088399153,9,-0.06080752871075798
5,5_39,MW,-11.521912971908575,9,-0.06251825482380323
5,5_4,Focus,-11.3067469111274,9,0.035903999802712416
