Subject,Epoch,State,Mean_log10_power,N_Windows,Slope_log10_power_per_second
sub-01,sub-01_10_0,Focus,-13.249883766681673,8,0.002574510103473395
sub-01,sub-01_10_1,Focus,-13.263098491827229,8,-0.00881596381542863
sub-01,sub-01_10_10,MW,-13.280760375956774,8,-0.012116546580234096
sub-01,sub-01_10_11,Focus,-13.229905466984011,8,-0.02586554897241541
sub-01,sub-01_10_12,MW,-13.244899052665167,8,0.0012928368438797648
sub-01,sub-01_10_13,Focus,-13.267106694719452,8,-0.018928414528789735
sub-01,sub-01_10_14,MW,-13.255342984853606,8,-0.00679303092294518
sub-01,sub-01_10_15,Focus,-13.337036770250037,8,-0.014243507259681942
sub-01,sub-01_10_16,MW,-13.296898886370514,8,-0.008082964555145377
sub-01,sub-01_10_17,Focus,-13.275839898524387,8,-0.005335215169284529
sub-01,sub-01_10_18,MW,-13.257607971712938,8,-0.03177901008219749
sub-01,sub-01_10_19,Focus,-13.203269736214773,8,0.015845904726526056
sub-01,sub-01_10_2,Focus,-13.257435824164912,8,0.0014638343481123688
sub-01,sub-01_10_20,Focus,-13.226254300043111,8,-0.06483599836568854
sub-01,sub-01_10_21,MW,-13.281437364214966,8,-0.020169395377744006
sub-01,sub-01_10_22,Focus,-13.263296540471643,8,-0.04137690256634835
sub-01,sub-01_10_23,MW,-13.272004202199717,8,0.003306042912402212
sub-01,sub-01_10_24,Focus,-13.265865469276129,8,-0.038305626665239206
sub-01,sub-01_10_25,MW,-13.250319849730143,8,-0.029528439679651963
sub-01,sub-01_10_26,Focus,-13.303116462497568,8,-0.0172236630531799
sub-01,sub-01_10_27,MW,-13.259154006877697,8,0.007237027735364351
sub-01,sub-01_10_28,Focus,-13.268446083746728,8,-0.0038263004565069563
sub-01,sub-01_10_29,MW,-13.299260320641823,8,0.0210351276376982
sub-01,sub-01_10_3,Focus,-13.247746625916147,8,0.012559501998346783
sub-01,sub-01_10_30,Focus,-13.310144097298194,8,-0.020535776444820505
sub-01,sub-01_10_31,MW,-13.353120664183972,8,-0.0033435137908525976
sub-01,sub-01_10_32,Focus,-13.344033252841092,8,-0.05005927845747094
sub-01,sub-01_10_33,MW,-13.333244522076317,8,0.030758730068404683
sub-01,sub-01_10_34,Focus,-13.298155363425744,8,-0.035201215146966156
sub-01,sub-01_10_35,MW,-13.364838808965306,8,-0.02054070615166959
sub-01,sub-01_10_36,Focus,-13.3335896718743,8,0.023794042183811204
sub-01,sub-01_10_37,MW,-13.28778245058302,8,0.03199706716741044
sub-01,sub-01_10_38,Focus,-13.305747901067688,8,-0.017879814253329688
sub-01,sub-01_10_39,MW,-13.350246122093386,8,-0.015861171893994924
sub-01,sub-01_10_4,MW,-13.259500650377468,8,-0.009873652864448112
sub-01,sub-01_10_40,Focus,-13.314623899079825,8,-0.04070663870327817
sub-01,sub-01_10_41,MW,-13.309281777509586,8,-0.012591223332741592
sub-01,sub-01_10_42,Focus,-13.352772441184246,8,-0.00786491321034853
sub-01,sub-01_10_43,MW,-13.303165554160548,8,0.011767282970244026
sub-01,sub-01_10_44,Focus,-13.323601546460296,8,-0.006376128515795231
sub-01,sub-01_10_45,MW,-13.294370380656881,8,0.01000119312074637
sub-01,sub-01_10_46,Focus,-13.363385910082364,8,-0.0018833747529481812
sub-01,sub-01_10_47,MW,-13.248622197021954,8,-0.009072333969177181
sub-01,sub-01_10_48,Focus,-13.348586416288242,8,-0.03456591529990219
sub-01,sub-01_10_49,MW,-13.304432717116235,8,-0.023028798743363922
sub-01,sub-01_10_5,Focus,-13.269822392605693,8,-0.00981698495738222
sub-01,sub-01_10_50,Focus,-13.321507835626376,8,0.015469281156881343
sub-01,sub-01_10_51,MW,-13.313050441568183,8,-0.05598619715711265
sub-01,sub-01_10_52,Focus,-13.352007042482231,8,0.014773274220119861
sub-01,sub-01_10_53,MW,-13.36748728573219,8,0.015804231032179063
sub-01,sub-01_10_54,Focus,-13.300700956207795,8,-0.016223827504008734
sub-01,sub-01_10_55,MW,-13.315190878102827,8,0.008881663463558362
sub-01,sub-01_10_56,Focus,-13.366688675708323,8,-0.03117142696373177
sub-01,sub-01_10_57,MW,-13.301224180312406,8,-0.028844038638440046
sub-01,sub-01_10_58,Focus,-13.34376235878176,8,-0.017802237017884182
sub-01,sub-01_10_59,MW,-13.3318403983234,8,0.008882603875198654
sub-01,sub-01_10_6,MW,-13.252311931867029,8,0.020047001547644168
sub-01,sub-01_10_60,Focus,-13.357339769714248,8,0.02227745028840448
sub-01,sub-01_10_61,MW,-13.2938941885957,8,0.013890414079291336
sub-01,sub-01_10_62,Focus,-12.666813058834242,8,0.1640998212358015
sub-01,sub-01_10_7,Focus,-13.26046269193348,8,0.010742771793858803
sub-01,sub-01_10_8,MW,-13.293101926886948,8,0.00863926963527372
sub-01,sub-01_10_9,Focus,-13.274901430169049,8,-0.045026968369544354
sub-01,sub-01_11_0,Focus,-13.287880030183917,8,-0.032986333346574685
sub-01,sub-01_11_1,Focus,-13.288775218364286,8,0.024967550146926667
sub-01,sub-01_11_10,Focus,-13.262115409195907,8,-0.08711264575967612
sub-01,sub-01_11_11,MW,-13.299051019135536,8,0.03249158525347425
sub-01,sub-01_11_12,Focus,-13.301893038765172,8,0.03966781671124975
sub-01,sub-01_11_13,MW,-13.136168691110704,8,0.09258080418196189
sub-01,sub-01_11_14,Focus,-13.207154942547712,8,-0.06610747557508888
sub-01,sub-01_11_15,MW,-13.326838469038265,8,0.011611456461462404
sub-01,sub-01_11_16,Focus,-13.328873900441533,8,0.03723258954950406
sub-01,sub-01_11_17,Focus,-13.300949386253876,8,-0.028443557290003748
sub-01,sub-01_11_18,MW,-13.282932426029822,8,-0.03535582975891044
sub-01,sub-01_11_19,Focus,-13.343445573488681,8,0.01710117286595344
sub-01,sub-01_11_2,Focus,-13.281476145518042,8,0.006057175476989195
sub-01,sub-01_11_20,Focus,-13.357145060323534,8,0.02044737072328671
sub-01,sub-01_11_21,MW,-13.190070249859087,8,-0.027804568090515524
sub-01,sub-01_11_22,Focus,-13.2478796459651,8,0.05971871683110136
sub-01,sub-01_11_23,MW,-13.059021971081796,8,0.0020079465113972722
sub-01,sub-01_11_24,Focus,-13.310248553046813,8,0.005478694590505444
sub-01,sub-01_11_25,MW,-13.196481741355509,8,-0.006435589000919255
sub-01,sub-01_11_26,Focus,-13.288390318665984,8,-0.029934190868637932
sub-01,sub-01_11_27,MW,-13.292663704076773,8,0.02034902364246172
sub-01,sub-01_11_28,Focus,-13.309307666380832,8,-0.004333874308063287
sub-01,sub-01_11_29,MW,-13.208364793335058,8,-0.05884933121826865
sub-01,sub-01_11_3,MW,-13.32039255218244,8,0.009652712557775346
sub-01,sub-01_11_30,Focus,-13.29074889798098,8,-0.014646766825443391
sub-01,sub-01_11_31,MW,-13.254644405211245,8,0.04323264404782057
sub-01,sub-01_11_32,Focus,-13.241374954156083,8,0.02437229173290697
sub-01,sub-01_11_33,MW,-13.248044329792664,8,-0.013952775811601394
sub-01,sub-01_11_34,Focus,-13.369437079215555,8,-0.04250777018689799
sub-01,sub-01_11_35,MW,-13.355526234404774,8,0.019804007085031904
sub-01,sub-01_11_36,Focus,-13.204702141839677,8,0.09925952177739031
sub-01,sub-01_11_37,MW,-13.283201763589487,8,0.00785319370587429
sub-01,sub-01_11_38,Focus,-13.33475417559592,8,-0.01598941277279925
sub-01,sub-01_11_39,MW,-13.32254439258454,8,0.037050947077681994
sub-01,sub-01_11_4,Focus,-13.301049483705624,8,-0.02915137218889357
sub-01,sub-01_11_40,Focus,-13.372874044421156,8,-0.03682277095666999
sub-01,sub-01_11_41,MW,-13.32533594746927,8,-0.014978519340310885
sub-01,sub-01_11_42,Focus,-13.329295657640957,8,0.038684521019275456
sub-01,sub-01_11_43,MW,-13.19164517871523,8,0.012688935893670048
sub-01,sub-01_11_44,Focus,-13.304537663668299,8,-0.023559090945374422
sub-01,sub-01_11_45,MW,-13.32011085175867,8,0.03854134787808819
sub-01,sub-01_11_46,Focus,-13.34302668124726,8,-0.0057373749954656
sub-01,sub-01_11_47,MW,-13.244510353703987,8,0.03651719941061273
sub-01,sub-01_11_48,Focus,-13.104517485629028,8,-0.03728241152628334
sub-01,sub-01_11_49,MW,-13.312803153532617,8,-0.010398377851466046
sub-01,sub-01_11_5,MW,-13.312645893966415,8,-0.008545174002146381
sub-01,sub-01_11_50,Focus,-13.351463143627736,8,-0.03528653169786074
sub-01,sub-01_11_51,MW,-13.272368321332486,8,0.02379625021393077
sub-01,sub-01_11_52,Focus,-13.354255621821535,8,-0.020958846767118407
sub-01,sub-01_11_53,MW,-13.291463467682641,8,-0.021678620232149393
sub-01,sub-01_11_54,MW,-13.292737086881202,8,-0.01126148526060882
sub-01,sub-01_11_55,Focus,-13.358432326149721,8,-0.08121742630815947
sub-01,sub-01_11_56,MW,-13.318603522784834,8,-0.016100640190145756
sub-01,sub-01_11_57,Focus,-13.342229004475739,8,-0.07146859059413688
sub-01,sub-01_11_58,MW,-13.281998083793747,8,-0.025554150767872354
sub-01,sub-01_11_59,Focus,-13.083530438722335,8,0.1454834270787402
sub-01,sub-01_11_6,Focus,-13.118566373844455,8,0.15490837291273926
sub-01,sub-01_11_60,MW,-13.344750336479315,8,-0.034242695611871876
sub-01,sub-01_11_61,Focus,-13.346796883938957,8,-0.005779316997789073
sub-01,sub-01_11_62,MW,-13.31749221761259,8,-0.07701929605477155
sub-01,sub-01_11_63,Focus,-13.293015130223246,8,-0.02159136194609515
sub-01,sub-01_11_64,MW,-13.358626090061659,8,0.0135995599451814
sub-01,sub-01_11_65,Focus,-13.350679105677527,8,0.015617454656331431
sub-01,sub-01_11_66,MW,-13.303176446037376,8,0.03232682156059462
sub-01,sub-01_11_67,Focus,-13.354913382406007,8,0.0048725677805597604
sub-01,sub-01_11_68,MW,-13.294696139320138,8,-0.005720192917764391
sub-01,sub-01_11_69,Focus,-13.366020010799609,8,-0.01801039243766075
sub-01,sub-01_11_7,MW,-13.320446005360324,8,-0.02204929933929038
sub-01,sub-01_11_70,MW,-13.359774880334584,8,-0.01117789539343248
sub-01,sub-01_11_71,Focus,-13.396408259197948,8,-0.05737134713995172
sub-01,sub-01_11_72,MW,-13.282746984211215,8,-0.06794687425142397
sub-01,sub-01_11_73,MW,-13.404276166194375,8,0.013786336458909526
sub-01,sub-01_11_74,Focus,-13.227786822635704,8,0.1107580633705889
sub-01,sub-01_11_75,MW,-13.229884849683266,8,0.07664278882646505
sub-01,sub-01_11_76,Focus,-13.39928936373255,8,-0.03257902778899506
sub-01,sub-01_11_77,Focus,-12.720421445183826,8,0.2565730927941104
